método_hash,tamanho_tabela,tamanho_teste,tempo_execucao_ms,tempo_execucao_ns, qtde_colisoes
Inserção Resto,10,20000,96,96392000,19990
Inserção Resto,10,100000,5867,5867908800,119990
Buscar Resto,10,20000,2702,2702317100,119990
Buscar Resto,10,100000,8826,8825454100,119990
Inserção Resto,10,20000,67,65844800,19990
Inserção Resto,10,100000,4805,4805251600,119990
Buscar Resto,10,20000,3455,3454065800,119990
Buscar Resto,10,100000,18075,18075267400,119990
Inserção Resto,10,20000,64,63796000,19990
Inserção Resto,10,100000,5194,5193875600,119990
Buscar Resto,10,20000,3773,3773248400,119990
Buscar Resto,10,100000,20772,20771861000,119990
Inserção Resto,100,20000,11,9997900,19900
Inserção Resto,100,100000,602,601772700,119900
Buscar Resto,100,20000,498,498353800,119900
Buscar Resto,100,100000,2887,2887089200,119900
Inserção Resto,100,20000,10,9802900,19900
Inserção Resto,100,100000,626,626380000,119900
Buscar Resto,100,20000,506,505745700,119900
Buscar Resto,100,100000,2857,2857622000,119900
Inserção Resto,100,20000,9,9219100,19900
Inserção Resto,100,100000,871,871567400,119900
Buscar Resto,100,20000,571,571283100,119900
Buscar Resto,100,100000,2791,2791253000,119900
Inserção Resto,1000,20000,2,1672600,19000
Inserção Resto,1000,100000,45,45637600,119000
Buscar Resto,1000,20000,30,29304200,119000
Buscar Resto,1000,100000,218,217627200,119000
Inserção Resto,1000,20000,2,2597700,19000
Inserção Resto,1000,100000,100,99981700,119000
Buscar Resto,1000,20000,227,227603400,119000
Buscar Resto,1000,100000,278,277799800,119000
Inserção Resto,1000,20000,1,1600300,19000
Inserção Resto,1000,100000,67,67549200,119000
Buscar Resto,1000,20000,50,50391800,119000
Buscar Resto,1000,100000,300,299523200,119000
Inserção Resto,10000,20000,1,711100,11386
Inserção Resto,10000,100000,10,9719400,110000
Buscar Resto,10000,20000,6,5806600,110000
Buscar Resto,10000,100000,23,23282000,110000
Inserção Resto,10000,20000,1,745500,11386
Inserção Resto,10000,100000,11,11290800,110000
Buscar Resto,10000,20000,10,10112300,110000
Buscar Resto,10000,100000,32,31099300,110000
Inserção Resto,10000,20000,1,664600,11386
Inserção Resto,10000,100000,17,16765700,110000
Buscar Resto,10000,20000,9,9056100,110000
Buscar Resto,10000,100000,38,37796100,110000
Inserção Resto,100000,20000,1,679800,1840
Inserção Resto,100000,100000,10,10158000,50118
Buscar Resto,100000,20000,3,3746300,50118
Buscar Resto,100000,100000,18,17930200,50118
Inserção Resto,100000,20000,2,1303200,1840
Inserção Resto,100000,100000,11,11100300,50118
Buscar Resto,100000,20000,4,4071000,50118
Buscar Resto,100000,100000,11,11639200,50118
Inserção Resto,100000,20000,4,2737300,1840
Inserção Resto,100000,100000,16,16259000,50118
Buscar Resto,100000,20000,3,4014300,50118
Buscar Resto,100000,100000,17,15635000,50118
Inserção Soma,10,20000,107,106458800,0
Inserção Soma,10,100000,5165,5166104000,0
Busca Soma,10,20000,1881,1880842600,0
Busca Soma,10,100000,9474,9472959300,0
Inserção Multiplicacao,10,20000,532,532652500,0
Inserção Multiplicacao,10,100000,35177,35176263900,0
Busca Multiplicacao,10,20000,26891,26890888300,0
Busca Multiplicacao,10,100000,135460,135460757200,0
Inserção Soma,10,20000,70,69906700,0
Inserção Soma,10,100000,4667,4666748600,0
Busca Soma,10,20000,3444,3443926400,0
Busca Soma,10,100000,17897,17897834500,0
Inserção Multiplicacao,10,20000,509,509297800,0
Inserção Multiplicacao,10,100000,35288,35288538800,0
Busca Multiplicacao,10,20000,26624,26624036100,0
Busca Multiplicacao,10,100000,134644,134643572900,0
Inserção Soma,10,20000,74,74498500,0
Inserção Soma,10,100000,4532,4531440600,0
Busca Soma,10,20000,3768,3767301500,0
Busca Soma,10,100000,18798,18799365300,0
Inserção Multiplicacao,10,20000,645,644744300,0
Inserção Multiplicacao,10,100000,48783,48782842700,0
Busca Multiplicacao,10,20000,31535,31535050300,0
Busca Multiplicacao,10,100000,181653,181652979900,0
Inserção Soma,100,20000,23,23048300,0
Inserção Soma,100,100000,871,871979000,0
Busca Soma,100,20000,691,691077900,0
